household_id,district,province,urbanization_level,members_in_house,roofless_persons,roof_persons,income_lkr,computers_owned,dialog_subscriptions,slt_subscriptions,hutch_subscriptions,other_subscriptions,smartphone_count,electricity_available,has_4g_coverage,has_fiber_coverage,downlink_speed_mbps,uplink_speed_mbps,avg_monthly_broadband_bill_lkr,dialog_sentiment,slt_sentiment,hutch_sentiment,overall_bb_satisfaction_score,digital_literacy_score,ecommerce_usage_score,starlink_awareness,starlink_sentiment_score,starlink_prob_proxy,starlink_proxy_adoption
HH0000061,Nuwara Eliya,Central,Rural,2,0,2,132461.62,0,1,0,0,0,3,1,1,0,18.6,6.5,2052.98,0.196,0.013,-0.27,-0.02,0.45,0.06,0,0.303,0.0051,No
HH0000062,Kalutara,Western,Semi-Urban,3,0,3,164362.18,0,4,3,0,0,2,1,0,0,25.0,7.1,1797.53,0.024,0.114,0.232,0.123,0.54,0.41,0,0.097,0.0004,No
HH0000063,Polonnaruwa,North-central,Rural,2,0,2,148964.21,0,2,3,0,0,1,1,1,1,19.6,8.2,2470.93,-0.134,-0.014,-0.243,-0.13,0.64,0.11,1,0.203,0.0507,No
HH0000064,Matale,Central,Rural,3,0,3,108434.84,1,3,0,0,0,3,1,0,0,19.7,6.3,2762.43,0.043,-0.288,-0.093,-0.113,0.65,0.44,0,0.488,0.0829,No
HH0000065,Kandy,Central,Semi-Urban,5,0,5,224676.96,0,6,3,1,0,0,1,1,0,15.2,7.4,2754.99,-0.018,0.197,-0.178,0.0,0.53,0.07,0,0.028,0.0367,No
HH0000066,Jaffna,Northern,Semi-Urban,5,0,5,124468.94,0,8,2,0,0,3,1,1,0,25.0,8.0,2618.75,0.064,0.05,-0.159,-0.015,0.62,0.23,0,0.341,0.0209,No
HH0000067,Gampaha,Western,Urban,6,0,6,313099.45,0,8,3,1,0,4,1,1,1,27.6,12.6,4548.02,0.287,0.311,0.328,0.309,0.77,0.52,1,0.327,0.3329,No
HH0000068,Anuradhapura,North-central,Rural,2,0,2,159686.24,0,0,1,1,0,2,1,1,0,15.5,5.8,2217.66,-0.166,-0.084,0.269,0.006,0.62,0.18,0,-0.263,0.0132,No
HH0000069,Colombo,Western,Urban,5,0,5,303597.37,0,3,5,1,0,5,1,1,0,25.0,9.5,4916.89,0.076,0.151,-0.016,0.07,0.71,0.54,0,0.565,0.4478,No
HH0000070,Kegalle,Sabaragamuwa,Rural,4,0,4,49873.07,0,5,0,2,0,1,1,1,1,15.5,4.2,2841.34,-0.025,0.034,-0.226,-0.072,0.33,0.09,0,-0.101,0.0292,No
HH0000071,Puttalam,North-western,Rural,5,0,5,194830.99,0,6,1,0,2,3,1,1,0,13.0,4.1,2441.4,0.219,-0.003,-0.27,-0.018,0.51,0.07,1,0.544,0.0954,No
HH0000072,Gampaha,Western,Urban,6,0,6,139156.84,3,9,1,2,0,3,1,1,1,35.9,7.3,5003.89,0.287,0.311,0.328,0.309,0.82,0.31,0,0.327,0.1534,No
HH0000073,Colombo,Western,Urban,2,0,2,340997.07,0,1,2,1,0,4,1,1,1,24.4,12.8,5199.1,0.076,0.151,-0.016,0.07,0.89,0.5,1,0.565,0.6253,Yes
HH0000074,Anuradhapura,North-central,Rural,3,0,3,67598.6,0,2,4,0,0,2,1,0,0,19.8,5.4,2821.85,-0.166,-0.084,0.269,0.006,0.73,0.0,0,-0.263,0.0793,No
HH0000075,Kurunegala,North-western,Rural,4,0,4,191314.82,2,1,2,0,0,3,1,1,0,14.6,3.9,2128.09,-0.057,0.221,-0.314,-0.05,0.58,0.28,1,0.281,0.0323,No
HH0000076,Kurunegala,North-western,Rural,3,0,3,135365.31,1,5,0,2,0,0,1,1,0,17.6,5.1,2172.66,-0.057,0.221,-0.314,-0.05,0.7,0.13,0,0.281,0.0122,No
HH0000077,Puttalam,North-western,Rural,7,0,7,152780.23,0,11,3,3,1,6,1,1,1,17.1,3.1,2468.82,0.219,-0.003,-0.27,-0.018,0.51,0.06,1,0.544,0.0394,No
HH0000078,Colombo,Western,Urban,3,0,3,361656.44,0,3,4,0,0,5,1,1,1,29.9,8.8,3702.63,0.076,0.151,-0.016,0.07,0.73,0.47,0,0.565,0.0698,No
HH0000079,Matale,Central,Rural,2,0,2,108619.9,0,1,2,1,0,3,1,1,0,17.0,7.0,2723.3,0.043,-0.288,-0.093,-0.113,0.65,0.1,0,0.488,0.0807,No
HH0000080,Gampaha,Western,Urban,3,0,3,220833.01,0,3,2,1,0,6,1,1,0,25.0,9.5,5069.36,0.287,0.311,0.328,0.309,0.78,0.43,0,0.327,0.3866,No
HH0000081,Badulla,Uva,Rural,4,0,4,73229.52,0,0,0,2,0,2,1,1,0,21.4,6.0,2562.23,0.096,0.056,-0.215,-0.021,0.45,0.12,0,0.285,0.0308,No
HH0000082,Ampara,Eastern,Rural,3,0,3,124022.32,0,4,1,2,0,2,1,1,0,21.0,3.2,2628.22,0.259,0.17,-0.182,0.082,0.48,0.13,0,0.229,0.0346,No
HH0000083,Kandy,Central,Semi-Urban,6,0,6,222569.16,1,6,4,0,0,4,1,0,0,25.0,8.5,3760.2,-0.018,0.197,-0.178,0.0,0.79,0.41,0,0.028,0.2152,No
HH0000084,Colombo,Western,Urban,7,0,7,237681.91,2,11,3,0,0,5,1,1,1,25.7,7.7,5613.4,0.076,0.151,-0.016,0.07,0.86,0.58,1,0.565,0.6743,Yes
HH0000085,Kandy,Central,Semi-Urban,6,0,6,138859.59,0,8,2,0,0,2,1,1,0,24.5,9.3,2741.74,-0.018,0.197,-0.178,0.0,0.61,0.22,1,0.028,0.0901,No
HH0000086,Kandy,Central,Semi-Urban,5,0,5,174977.0,0,10,0,0,0,1,1,1,0,16.5,6.4,2061.26,-0.018,0.197,-0.178,0.0,0.71,0.42,0,0.028,0.0036,No
HH0000087,Kurunegala,North-western,Rural,8,0,8,152465.15,1,5,4,2,1,9,1,1,0,15.1,4.2,2605.52,-0.057,0.221,-0.314,-0.05,0.51,0.19,1,0.281,0.1488,No
HH0000088,Ampara,Eastern,Rural,4,0,4,113326.55,0,5,2,0,0,4,1,1,0,10.9,3.2,2600.69,0.259,0.17,-0.182,0.082,0.6,0.07,1,0.229,0.1405,No
HH0000089,Monaragala,Uva,Rural,1,0,1,182777.28,0,1,0,0,0,0,0,0,1,18.5,3.6,2416.13,-0.059,0.046,0.226,0.071,0.57,0.22,0,0.309,0.009,No
HH0000090,Matara,Southern,Semi-Urban,3,0,3,88747.24,0,1,1,0,0,2,1,1,1,16.7,5.1,3019.52,-0.062,-0.083,-0.003,-0.049,0.5,0.38,0,-0.099,0.0271,No
HH0000091,Gampaha,Western,Urban,5,0,5,213551.93,0,7,5,0,0,6,1,1,0,25.0,11.3,4695.61,0.287,0.311,0.328,0.309,0.65,0.38,0,0.327,0.2857,No
HH0000092,Kurunegala,North-western,Rural,7,0,7,124950.55,0,3,6,0,0,6,1,1,0,14.9,3.5,2315.92,-0.057,0.221,-0.314,-0.05,0.55,0.09,0,0.281,0.02,No
HH0000093,Puttalam,North-western,Rural,1,0,1,252088.08,0,2,2,0,0,1,1,1,0,12.6,5.1,1773.26,0.219,-0.003,-0.27,-0.018,0.61,0.16,1,0.544,0.0051,No
HH0000094,Mannar,Northern,Rural,6,0,6,77059.64,0,0,2,1,0,7,1,1,0,15.9,6.1,2915.24,0.027,-0.179,-0.372,-0.175,0.54,0.37,1,0.156,0.3205,No
HH0000095,Puttalam,North-western,Rural,5,0,5,296996.66,0,5,5,1,1,4,1,1,0,14.5,6.1,1625.41,0.219,-0.003,-0.27,-0.018,0.61,0.2,1,0.544,0.0017,No
HH0000096,Matara,Southern,Semi-Urban,4,0,4,76453.32,0,5,2,1,0,3,1,0,0,14.5,5.0,3358.37,-0.062,-0.083,-0.003,-0.049,0.77,0.1,1,-0.099,0.3798,No
HH0000097,Hambantota,Southern,Rural,2,0,2,165814.23,0,1,1,0,1,1,1,1,0,12.8,6.0,2003.33,0.166,-0.112,0.131,0.062,0.49,0.16,0,0.435,0.0043,No
HH0000098,Galle,Southern,Semi-Urban,8,0,8,113844.8,0,15,6,2,0,8,0,1,0,15.1,4.8,2533.25,0.033,-0.026,-0.139,-0.044,0.66,0.14,0,0.346,0.0229,No
HH0000099,Colombo,Western,Urban,1,0,1,379041.55,0,0,0,0,0,1,0,1,0,23.9,8.5,3817.4,0.076,0.151,-0.016,0.07,0.8,0.31,0,0.565,0.2183,No
HH0000100,Colombo,Western,Urban,3,0,3,344902.73,0,1,3,1,1,2,1,1,1,19.1,10.6,4907.32,0.076,0.151,-0.016,0.07,0.79,0.44,0,0.565,0.2962,No
HH0000101,Colombo,Western,Urban,5,0,5,143847.62,0,6,1,1,0,5,1,1,0,17.5,8.7,4400.15,0.076,0.151,-0.016,0.07,0.81,0.49,0,0.565,0.3937,No
HH0000102,Ampara,Eastern,Rural,2,0,2,74781.12,0,3,0,1,0,0,1,1,0,11.2,5.4,2526.73,0.259,0.17,-0.182,0.082,0.57,0.11,0,0.229,0.0344,No
HH0000103,Kandy,Central,Semi-Urban,1,0,1,124793.38,0,2,0,0,0,0,1,1,1,18.9,6.6,1470.14,-0.018,0.197,-0.178,0.0,0.65,0.12,0,0.028,0.0,No
HH0000104,Hambantota,Southern,Rural,4,0,4,223262.92,0,1,0,1,1,6,1,1,0,13.4,5.9,2969.32,0.166,-0.112,0.131,0.062,0.62,0.36,0,0.435,0.1194,No
HH0000105,Ratnapura,Sabaragamuwa,Rural,6,0,6,185698.93,1,4,5,2,0,8,1,1,0,23.0,3.1,2855.12,-0.001,-0.143,0.386,0.081,0.62,0.2,0,0.176,0.0699,No
HH0000106,Kalutara,Western,Semi-Urban,2,0,2,207614.49,0,2,0,1,0,3,1,1,1,17.3,5.4,2639.53,0.024,0.114,0.232,0.123,0.6,0.32,1,0.097,0.0292,No
HH0000107,Galle,Southern,Semi-Urban,4,0,4,116008.23,0,6,4,2,1,4,1,1,0,22.6,5.1,2751.42,0.033,-0.026,-0.139,-0.044,0.65,0.18,1,0.346,0.1058,No
HH0000108,Puttalam,North-western,Rural,4,0,4,185448.46,0,6,6,1,0,2,0,1,0,15.6,3.8,2164.29,0.219,-0.003,-0.27,-0.018,0.65,0.22,0,0.544,0.0114,No
HH0000109,Kalutara,Western,Semi-Urban,10,0,10,262689.95,0,10,3,1,1,6,1,1,0,21.5,7.8,2470.96,0.024,0.114,0.232,0.123,0.63,0.24,0,0.097,0.012,No
HH0000110,Colombo,Western,Urban,5,0,5,432681.01,0,4,3,0,0,5,0,1,1,23.6,9.3,5741.0,0.076,0.151,-0.016,0.07,0.92,0.53,1,0.565,0.7202,Yes
HH0000111,Kandy,Central,Semi-Urban,6,0,6,57384.11,2,6,4,3,0,4,1,1,1,23.2,8.9,3360.24,-0.018,0.197,-0.178,0.0,0.65,0.27,0,0.028,0.0433,No
HH0000112,Gampaha,Western,Urban,5,0,5,211328.74,0,2,1,0,0,5,1,1,1,31.9,9.7,4836.69,0.287,0.311,0.328,0.309,0.76,0.39,1,0.327,0.3617,No
HH0000113,Ratnapura,Sabaragamuwa,Rural,2,0,2,147172.93,1,4,0,0,0,4,1,1,0,18.3,3.7,2537.33,-0.001,-0.143,0.386,0.081,0.46,0.29,1,0.176,0.0888,No
HH0000114,Anuradhapura,North-central,Rural,2,0,2,113027.3,0,0,1,0,0,0,1,1,0,15.2,6.6,2279.49,-0.166,-0.084,0.269,0.006,0.61,0.09,0,-0.263,0.0164,No
HH0000115,Ampara,Eastern,Rural,8,0,8,98038.55,1,9,1,3,1,3,1,1,0,15.8,5.8,2112.83,0.259,0.17,-0.182,0.082,0.72,0.04,0,0.229,0.0077,No
HH0000116,Badulla,Uva,Rural,8,0,8,165116.14,1,9,3,1,0,13,1,1,0,19.8,5.3,2356.46,0.096,0.056,-0.215,-0.021,0.46,0.25,0,0.285,0.018,No
HH0000117,Anuradhapura,North-central,Rural,3,0,3,147125.18,0,2,1,1,0,2,1,1,0,12.0,4.4,2628.42,-0.166,-0.084,0.269,0.006,0.47,0.0,0,-0.263,0.0506,No
HH0000118,Gampaha,Western,Urban,3,0,3,92345.06,1,4,0,0,0,3,1,1,1,32.4,10.9,5047.89,0.287,0.311,0.328,0.309,0.77,0.44,0,0.327,0.1588,No
HH0000119,Monaragala,Uva,Rural,3,0,3,155684.03,1,2,0,0,0,3,1,1,0,18.5,3.1,1630.67,-0.059,0.046,0.226,0.071,0.56,0.14,0,0.309,0.0004,No
HH0000120,Jaffna,Northern,Semi-Urban,1,0,1,148190.92,0,2,2,0,0,0,1,1,1,27.1,6.9,3024.9,0.064,0.05,-0.159,-0.015,0.64,0.04,0,0.341,0.0236,No
HH0000121,Anuradhapura,North-central,Rural,6,0,6,100022.49,4,8,3,3,1,5,1,1,0,18.5,6.3,2403.35,-0.166,-0.084,0.269,0.006,0.57,0.22,0,-0.263,0.0222,No
HH0000122,Monaragala,Uva,Rural,3,0,3,117941.35,0,6,2,1,0,1,1,1,0,12.1,5.9,2504.26,-0.059,0.046,0.226,0.071,0.73,0.18,1,0.309,0.1197,No
HH0000123,Kandy,Central,Semi-Urban,2,0,2,242038.11,0,2,0,1,0,1,1,1,0,17.3,5.3,2327.49,-0.018,0.197,-0.178,0.0,0.65,0.18,0,0.028,0.0104,No
HH0000124,Gampaha,Western,Urban,6,0,6,133762.3,0,4,7,1,0,8,0,1,0,25.0,10.4,4906.39,0.287,0.311,0.328,0.309,0.81,0.49,1,0.327,0.6461,Yes
HH0000125,Kalutara,Western,Semi-Urban,5,0,5,196618.97,0,4,0,1,1,6,1,1,0,18.9,7.4,3004.11,0.024,0.114,0.232,0.123,0.66,0.3,1,0.097,0.1607,No
HH0000126,Galle,Southern,Semi-Urban,4,0,4,113582.85,2,7,1,1,0,3,1,1,0,20.2,5.2,2456.69,0.033,-0.026,-0.139,-0.044,0.75,0.21,0,0.346,0.017,No
HH0000127,Anuradhapura,North-central,Rural,3,0,3,85889.07,1,3,2,2,0,1,1,1,1,12.8,4.3,2443.68,-0.166,-0.084,0.269,0.006,0.56,0.21,0,-0.263,0.012,No
HH0000128,Badulla,Uva,Rural,3,0,3,203306.59,0,4,1,0,1,1,1,1,0,16.5,4.9,2596.78,0.096,0.056,-0.215,-0.021,0.52,0.02,0,0.285,0.0458,No
HH0000129,Colombo,Western,Urban,7,0,7,379748.4,1,6,4,1,0,8,1,1,1,22.6,6.8,5733.76,0.076,0.151,-0.016,0.07,0.82,0.49,0,0.565,0.4158,No
HH0000130,Hambantota,Southern,Rural,6,0,6,150774.34,1,6,3,1,0,7,1,1,0,15.4,5.0,2986.72,0.166,-0.112,0.131,0.062,0.54,0.12,0,0.435,0.1066,No
HH0000131,Galle,Southern,Semi-Urban,9,0,9,122455.08,1,12,4,3,1,9,1,1,0,14.3,6.6,3227.49,0.033,-0.026,-0.139,-0.044,0.67,0.37,0,0.346,0.1218,No
HH0000132,Kalutara,Western,Semi-Urban,2,0,2,118558.43,0,1,1,0,0,1,1,1,0,25.0,7.2,2508.14,0.024,0.114,0.232,0.123,0.59,0.34,1,0.097,0.0363,No
